,adm3_sec_code,departement,commune,section_communale,IHSI_UNFPA_2019_female,IHSI_UNFPA_2019_male,IHSI_UNFPA_2019
226,36201,Nord,Bas Limbé,1re Section Garde Champètre (Bas Limbe),889,952,1 841
227,36202,Nord,Bas Limbé,2e Section Petit Howars (la Fange),10 597,10 274,20 871
228,37101,Nord,Plaisance,1re Section Gobert ou Colline Gobert,4 521,4 526,9 047
229,37102,Nord,Plaisance,2e Section Champagne,2 085,1 954,4 039
230,37103,Nord,Plaisance,3e Section Haut Martineau,1 541,1 561,3 102
231,37104,Nord,Plaisance,4e Section Mapou,3 462,3 347,6 810
232,37105,Nord,Plaisance,5e Section la Trouble,3 411,3 498,6 910
233,37106,Nord,Plaisance,6e Section la Ville,3 277,3 417,6 693
234,37107,Nord,Plaisance,7e Section Bassin,13 436,12 779,26 215
235,37108,Nord,Plaisance,8e Section Grande Rivière,6 429,6 375,12 804
236,37201,Nord,Pilate,1re Section Ballon,11 118,10 549,21 668
237,37202,Nord,Pilate,2e Section Baudin,2 430,2 354,4 784
238,37203,Nord,Pilate,3e Section Ravine Trompette,4 050,3 916,7 966
239,37204,Nord,Pilate,4e Section Joly,1 819,1 765,3 584
240,37205,Nord,Pilate,5e Section Dubourg,1 443,1 440,2 883
241,37206,Nord,Pilate,6e Section Piment,1 504,1 538,3 042
242,37207,Nord,Pilate,7e Section Rivière Laporte,2 102,2 227,4 329
243,37208,Nord,Pilate,8e Section Margot,5 291,5 192,10 484
244,41101,Nord-Est,Fort-Liberté,1re Section Dumas,14 388,13 776,28 164
245,41102,Nord-Est,Fort-Liberté,2e Section Bayaha,1 689,1 889,3 577
246,41103,Nord-Est,Fort-Liberté,3e Section Loiseau,1 806,1 810,3 616
247,41104,Nord-Est,Fort-Liberté,4e Section Haut Madeleine,1 769,1 720,3 489
248,41201,Nord-Est,Ferrier,1re Section Bas Maribahoux,8 028,8 491,16 519
249,41301,Nord-Est,Perches,1re Section Haut des Perches,1 146,1 203,2 349
250,41302,Nord-Est,Perches,2e Section Bas des Perches,5 261,5 428,10 689
251,42101,Nord-Est,Ouanaminthe,1re Section Haut Maribahoux,48 300,46 776,95 075
252,42102,Nord-Est,Ouanaminthe,2e Section Acul des Pins,2 738,2 708,5 446
253,42103,Nord-Est,Ouanaminthe,3e Section Savane Longue,5 422,5 367,10 789
254,42104,Nord-Est,Ouanaminthe,4e Section Savane au Lait,2 412,2 385,4 797
255,42105,Nord-Est,Ouanaminthe,5e Section Gens de Nantes,1 821,1 803,3 624
256,42201,Nord-Est,Capotille,1re Section Capotille,7 316,7 653,14 969
257,42202,Nord-Est,Capotille,2e Section Lamine,3 348,3 548,6 896
258,42301,Nord-Est,Mont-Organisé,1re Section Savanette,9 053,9 174,18 226
259,42302,Nord-Est,Mont-Organisé,2e Section Bois Poux,2 705,2 730,5 436
260,43101,Nord-Est,Trou du Nord,1re Section Garcin,1 314,1 333,2 648
261,43102,Nord-Est,Trou du Nord,2e Section Roucou,22 329,21 250,43 579
262,43103,Nord-Est,Trou du Nord,3e Section Roche Plate,4 455,4 518,8 973
263,43201,Nord-Est,Sainte Suzanne,1re Section Foulon,1 735,1 890,3 625
264,43202,Nord-Est,Sainte Suzanne,2e Section Bois Blanc,1 804,1 942,3 745
265,43203,Nord-Est,Sainte Suzanne,3e Section Cotelette,1 507,1 644,3 151
266,43204,Nord-Est,Sainte Suzanne,4e Section Sarazin,2 291,2 465,4 756
267,43205,Nord-Est,Sainte Suzanne,5e Section Moka Neuf,2 660,2 896,5 556
268,43206,Nord-Est,Sainte Suzanne,6e Section Fond Bleu,5 171,5 618,10 790
269,43301,Nord-Est,Terrier Rouge,1re Section Fond Blanc,9 900,10 058,19 957
270,43302,Nord-Est,Terrier Rouge,2e Section Grand Bassin,7 069,7 184,14 253
271,43401,Nord-Est,Caracol,1re Section Champin,2 846,3 192,6 038
272,43402,Nord-Est,Caracol,"2e Section Glaudine ou ""Jacquesil""",1 270,1 400,2 670
273,44101,Nord-Est,Vallières,1re Section Trois Palmistes,6 325,6 776,13 100
274,44102,Nord-Est,Vallières,2e Section Ecrevisse ou Grosse Roche,3 770,4 039,7 809
275,44103,Nord-Est,Vallières,3e Section Corosse,2 725,2 919,5 643
276,44201,Nord-Est,Carice,1re Section Bois Camelle,1 381,1 458,2 839
277,44202,Nord-Est,Carice,2e Section Rose Bonite,6 192,6 330,12 522
278,44301,Nord-Est,Mombin Crochu,1re Section Sans Souci,7 816,7 831,15 646
279,44302,Nord-Est,Mombin Crochu,2e Section Bois Laurence,11 739,11 762,23 501
280,51101,Artibonite,Gonaïves,1re Section Pont Tamarin,128 387,118 284,246 671
281,51102,Artibonite,Gonaïves,2e Section Bassin,61 313,56 518,117 831
282,51103,Artibonite,Gonaïves,3e Section Pte Rivière de Bayonnais,14 169,13 264,27 433
283,51104,Artibonite,Gonaïves,4e Section Poteaux,9 142,8 572,17 715
284,51105,Artibonite,Gonaïves,5e Section Labranle,6 501,6 099,12 600
285,51201,Artibonite,Ennery,1re Section Savane Carree,10 106,10 426,20 532
