id_Section,No_section,adm0code,adm0_en,adm0_fr,adm0_ht,adm1code,adm1_en,adm1_fr,adm1_ht,adm2code,adm2_en,adm2_fr,adm2_ht,adm3code,adm3_en,adm3_fr,IHSI_UNFPA_2019,IHSI_UNFPA_2019_female,IHSI_UNFPA_2019_male
134-02,2,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0134,Cornillon / Grand Bois,Cornillon / Grand Bois, ,HT0134-02,2e Section Plaine Celeste,2e Section Plaine Céleste,12 776,6 234,6 542
134-03,3,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0134,Cornillon / Grand Bois,Cornillon / Grand Bois, ,HT0134-03,3e Section Boucan Bois Pin,3e Section Boucan Bois Pin,16 488,7 983,8 504
134-04,4,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0134,Cornillon / Grand Bois,Cornillon / Grand Bois, ,HT0134-04,"4e Section Boucan Bois Pin","4e Section Boucan Bois Pin",18 783,9 153,9 630
134-05,5,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0134,Cornillon / Grand Bois,Cornillon / Grand Bois, ,HT0134-05,"5e Section Génipailler","5e Section Génipailler",10 409,4 958,5 451
135-01,1,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0135,Fonds-Verrettes,Fonds-Verrettes, ,HT0135-01,1re Section Fonds-Verrettes,1re Section Fonds-Verrettes,62 195,30 626,31 569
141-01,1,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0141,Arcahaie,Arcahaie, ,HT0141-01,1re Section Boucassin,1re Section Boucassin,4 041,2 135,1 906
141-02,2,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0141,Arcahaie,Arcahaie, ,HT0141-02,2e Section Fonds Baptiste,2e Section Fonds Baptiste,11 657,5 970,5 687
141-03,3,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0141,Arcahaie,Arcahaie, ,HT0141-03,3e Section des Vases,3e Section des Vases,116 107,57 608,58 499
141-04,4,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0141,Arcahaie,Arcahaie, ,HT0141-04,4e Section Montrouis,4e Section Montrouis,10 044,5 265,4 778
141-05,5,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0141,Arcahaie,Arcahaie, ,HT0141-05,5e Section Delices,5e Section Delices,9 630,4 695,4 935
141-06,6,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0141,Arcahaie,Arcahaie, ,HT0141-06,6e Section Matheux,6e Section Matheux,10 533,5 267,5 267
142-01,1,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0142,Cabaret,Cabaret, ,HT0142-01,1re Section Boucassin,1re Section Boucassin,1 056,598,458
142-02,2,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0142,Cabaret,Cabaret, ,HT0142-02,2e Section Boucassin,2e Section Boucassin,78 301,39 106,39 195
142-03,3,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0142,Cabaret,Cabaret, ,HT0142-03,3e Section Source Matelas,3e Section Source Matelas,2 235,1 253,982
142-04,4,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0142,Cabaret,Cabaret, ,HT0142-04,4e Section Fonds des Blancs (Casale),4e Section Fonds des Blancs (Casale),3 257,1 759,1 498
151-01,1,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0151,Anse a Galets,Anse à Galets, ,HT0151-01,1re Section Palma,1re Section Palma,3 177,1 720,1 457
151-02,2,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0151,Anse a Galets,Anse à Galets, ,HT0151-02,2e Section Petite Source,2e Section Petite Source,64 102,31 339,32 763
